Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Factors,Type of Rating,Evaluation Metric/Rating System,Evaluation Category,Key Findings,Criticism/Limitation
Management of Transfer Prices in Professional Football as a Function of Fan Numbers,"Martin Užík, Roman Warias & Jozef Glova",2022,"This study develops a model to quantify the impact of player popularity on transfer prices by linking fan numbers, specifically through merchandise potential, to amortize transfer fees. It offers a method for clubs to evaluate transfer values by considering both sporting and commercial potential.",6907,player,"6,907 players across European top leagues from 2003 to 2019",Europe,Regression,Regression model based on factors in the study,Aggregated Data,"performance (playing time quotient), age, player position, and follower count on social media platforms",Player,Predicted Transfer Fee,Financial Related,"[1] Higher fan counts correlate with higher merchandise revenue potential, which can justify higher transfer fees for popular players. [2] The study recommends one-year contracts for high-profile players with significant merchandise potential, while average players benefit from longer, amortized contracts. [3]  Variations in merchandise profit margins impact the number of fans willing to buy products, affecting the transfer value calculation.","[1] The model uses social media followers as a proxy for fan base, which may not fully capture a player’s global popularity or direct merchandise impact. [2] The model does not account for changing player performance over time, which could influence popularity and merchandise potential. [3] Complete data is available only for one season (2018/2019), potentially limiting broader application across seasons."
A football player rating system,"Stephan Wolf, Maximilian Schmitt & Björn Schuller",2020,"This paper presents an Elo-based rating system designed to objectively evaluate individual soccer players. The model emphasizes adaptability and relies solely on official match reports, making it scalable to various leagues and potentially usable for scouting and talent identification.",17086,matches,"17,086 matches from 18 different competition",Europe,Custom Rating Systems,ELO algorithm is modified to handle individual player while adjusted based on match outcomes and goal difference. Home advantage was also added as a constant.,Aggregated Data,"match results, goal difference, team ratings, importance weighting",Player,ELO-based player rating,Player Performance Related,"[1] The Elo-based system identified key players whose ratings contributed significantly to team success. [2] Player-based ratings outperformed team-only ratings in match outcome predictions, supporting the system’s use for evaluating lineup strength. [3] The rating system proved adaptable across competitions and was effective for player ranking, suggesting usefulness for scouting purposes in identifying high-impact players.","[1] Players start with ratings based on team averages, which may disadvantage players on weaker teams. [2] The system could overlook specific role-based contributions (e.g., defensive work), as it focuses on match results and goal differences. [3] Although scalable, the model’s reliance on match data limits its applicability in leagues or levels with incomplete or inconsistent data."
An Improved Evaluation Method for Soccer Player Performance Using Affective Computing,"Wei Liu, Xiang Xie, Sifan Ma, & Yuxiang Wang",2020,"This paper proposes an evaluation method that incorporates affective computing to assess soccer player performance by measuring both the quantity and quality of in-game events. Traditional methods only count event occurrences, like goals or tackles, without considering qualitative aspects. By integrating affective scores derived from post-match reports, this approach aims to provide a more nuanced assessment.",23500,player,"23,500 player observations from Chinese Super League",Asia,"Regression , Neural Network","Affective Computing with Long Short-Term Memory (LSTM) Network for sentiment analysis on post-match reports, assigning affective scores to player actions based on text sentiment. Data Fusion with Linear Regression combines traditional statistics with affective scores to create modified player statistics for evaluation.",Aggregated Data and Text Data,"traditional metrics, quality of actions",Player,Player Ratings,Player Performance Related,"[1] Players ranked highly by the affective-enhanced model had market values €12.15 million higher than those from traditional rankings, indicating better real-world alignment. [2] Affective scores added significant value in evaluating forward players, as these players have more positive media coverage, indicating bias results.","[1] The model’s affective scores are reliant on media coverage, which may introduce bias, especially in high-profile or controversial games. [2] Actions like positioning and marking are challenging to quantify using affective scores from post-match reports."
Racial bias in newspaper ratings of professional football players,"Francesco Principe, & Jan C. van Ours",2022,"This study investigates the presence of racial bias in Italian sports newspapers' ratings of professional football players, focusing on whether black players receive lower ratings than non-black players despite comparable objective performance metrics. By examining ratings from three Italian newspapers, the study seeks to understand the potential influence of race on subjective evaluations in sports media.",1835,player,"1,835 player-season observations for outfield players in Italy’s Serie A over nine seasons (2009-2018), excluding goalkeepers",Europe,Regression,"Ordinary Least Squares (OLS) Regression is used to establish the relationship between player race and ratings. Unconditional Quantile Regression (UQR) provides distributional analysis, highlighting differences in racial bias across rating quantiles.",Aggregated Data,"race, performance statistics",Player,Newspaper Ratings,Player Performance Related,"[1] Black players tend to receive significantly lower ratings in the lower performance quantiles, particularly in Corriere and TuttoSport, suggesting unconscious bias among evaluators at this range. [2] While media ratings exhibit racial bias, club wages do not reflect such bias, possibly due to the competitive nature of football clubs in valuing player skills objectively.","[1] Goalkeepers were excluded due to different rating standards, limiting generalizability to this position. [2] The study does not delve into why media bias persists, leaving open the question of whether it stems from unconscious discrimination or reader preferences."
Evaluating Player Performances in Football: A Debiased Machine Learning Approach,Robert Bajons,2023,"The study applies a debiased machine learning approach to estimate the contributions of players to a possession sequence, in order to derive a metric to rate players that accounts for team strengths and game context.",1826,matches,"1,826 matches",Europe,Regression,Debiased machine learning to obtain unbiased estimates of contributions effect and they are then used to derive player rating,Event Data,"spatial, temporal, discrete",Player,PCV: Possession Contribution Value,Action-Centric Performance Metrics,"[1] The PCV rating (based on possession contributions) performed well in predicting match outcomes. While ELO ratings performed the best overall, PCV was slightly better than the VAEP rating system in terms of predictive performance. [2] When comparing the two methods for predicting match outcomes (bivariate Poisson and logistic regression), there was no notable difference in results. [3] One key advantage of ELO ratings was that they used more data (multiple seasons), while PCV and VAEP only used data from the 2017/18 season. This might explain why ELO ratings did slightly better overall.","[1] Players who are involved a lot, like midfielders, may have their effectiveness underestimated, while strikers who are involved less may have their effectiveness overestimated, this could mean key midfielders who are highly involved in possession are underrated compared to strikers who only touch the ball at the end of plays. [2] The system faces problems like multicollinearity (when variables are too closely related as they occur within a predefined coordinate space) and overfitting (fitting the model too perfectly to past data), which makes it harder to create a reliable model. [3] The model treats the outcome as binary (goal/no goal), which oversimplifies the game. [4] The player ratings are averaged across the team to predict match outcomes. This means that individual brilliance might get ""averaged out"" when looking at the whole team’s strength, suggesting that the focus on match results might overlook the individual player performance, outside of team dynamics."
Comparing Bottom-Up and Top-Down Ratings for Individual Soccer Players,Lars Magnus Hvattum & Garry A. Gelade,2021,This paper compares two approaches for evaluating individual soccer players: bottom-up ratings (which value individual player actions) and top-down ratings (which assess team performance and distribute credit to players). It aims to determine which method is more reliable and valid for predicting match outcomes and ranking player performance.,18047,matches,"18,047 matches over 10 seasons (2009/10 to 2018/19) from Europe’s top five leagues",Europe,"Custom Rating Systems , Ensemble Learning","Bottom-up rating: The VAEP (Valuing Actions by Estimating Probabilities) model, which calculates the value of player actions by estimating how they affect the probability of scoring or conceding goals. Top-down rating: The plus-minus (PM) rating, which measures the goal differential achieved by a team when a player is on the field, adjusted for teammate and opponent strength.",Event Data,"Key factors include individual player actions (e.g., passes, dribbles) and team performance indicators (goal differential, opponent strength).",Player,VAEP Ratings and PM Ratings,Player Performance Related,"[1] PM ratings are more reliable and provide better predictions of match outcomes than VAEP ratings. [2] VAEP ratings, while detailed, were less consistent when tested across different data sets and less effective in predicting match results. [3] Hybrid ratings combining PM and VAEP did not significantly improve performance compared to PM alone.","[1] VAEP’s reliance on detailed event data can make it less stable and harder to generalize, particularly for smaller data sets. [2] VAEP doesn’t account for opponent or teammate quality as thoroughly as PM ratings. [3] Both models lack consideration for player interaction effects (e.g., chemistry between players) and do not handle off-ball actions."
A Dimension Reduction Approach to Player Rankings in European Football,"Ayse Elvan Aydemir, Tugba Taskaya Temizel, Alptekin Temizel, Kliment Preshlenov, & Daniel M. Strahinov",2021,"This study presents a novel approach to ranking European football players across multiple leagues by developing a framework that standardizes and scales player performance metrics. This dimension reduction technique helps compare players across different competitions and considers external factors such as opponent difficulty, competition quality, and recency.",150810,player,"150,810 player-match observations",Europe,Unsupervised Learning,"The study scales in-game statistics to account for game duration using a modified per-90 minute scaling that standardizes player metrics across games, competition quality, opponent strength, and game recency. KPCA with cosine similarity for final dimension reduction to represent overall player performance in a single ranking metric.",Aggregated Data,"in-game metrics, opponent and competition strength",Player,Player Ranking via Dimension Reduction,Player Performance Related,"[1] High-ranked players correlate significantly with increased market values and transfers to higher-ranking teams. [2] The scaling and KPCA approaches enable fair comparison of players across leagues, providing a global view of player performance. [3] The rank groups correlated well with post-analysis player market values, showing the framework’s effectiveness in estimating value increases beyond inflation.","[1] Middle-ranked players showed less market value differentiation, suggesting potential limitations in capturing mid-level performance factors. Only high-ranked players capture the value of the model. [2] The study’s validation relies on market values from Transfermarkt, which may not fully reflect all aspects of player quality. [3] The model focuses on left and right backs, limiting generalizability to other positions without further adjustments."
Developing a Multicriteria Decision-Making Model Based on a Three-Layer Virtual Internet of Things Algorithm Model to Rank Players’ Value,Che-Wei Chang,2022,"This study proposes a multicriteria decision-making (MCDM) model using a virtual Internet of Things (IoT) structure to rank player values. By integrating IoT technology, the study evaluates football players in European leagues, emphasizing defenders' performance and market value.",23,matches,23 matches,Europe,"Decision & Heuristic Systems , Supervised Learning",Grey Relational Analysis (GRA) model evaluate and rank players based on performance metrics.,Aggregated Data,"defensive actions, goals, assists, market value, wages",Player,GRA-based performance scores,Player Performance Related,"[1] Players’ GRD rankings closely align with market valuations and public rankings, suggesting that IoT-driven models can reflect player value effectively. [2] Study highlights interceptions and tackles as critical indicators of a defender's proactive engagement in disrupting opponent plays, showing high relevance in the GRD ranking outcomes.","[1] High initial costs for IoT implementation, along with complexities in integrating diverse data sources, may limit broader adoption. [2] Focuses on a single tournament phase, limiting generalizability across seasons and competitions. [3] No contextualized information on the statistical data."
Football player ranking generated by multivariate methods,"Aniela Pilar Campos de Melo, Luiz Henrique Arruda Lima, Ana Beatriz Dutton da Silva Braúna, Hafy Mourad Jacoub de Cuba Kouzak, Fábio Borges Costa, João Felipe Batista da Silva Pinto, & Fernando de Castro Júnior",2022,To build a ranking of football players using multivariate statistical methods.,95,player,"95 players who won FIFA, UEFA, Ballon D'Or, FIFPro, World Soccer, and Golden Ball World Cup awards.",Global,Unsupervised Learning ,Multivariate clustering and principal component analysis.,Aggregated Data,"games played, wins, draws, losses, goals, yellow/red cards, awards, and titles",Player,Final ranking determined by applying weights derived from the principal component analysis (PCA),Player Performance Related,"[1] The multivariate analysis categorized the 95 evaluated players into three distinct groups based on their performance metrics. [2] One of the surprising findings was the impact of yellow and red cards on the rankings. Some players with high indiscipline (e.g., frequent yellow/red cards) saw their rankings lowered due to the negative weighting of these metrics in the model. [3]  The principal component analysis explained 71% of the variance in the data, indicating that the ranking model captured a substantial portion of the variation among players' performances.","[1] The model relies on 14 specific variables, but these metrics may not fully capture the complexity of player performance as it emphasizes team accomplishments more than individual impact or skill. [2] The model standardizes performance data using mean and standard deviation, which simplifies and reduces the nuanced differences in player performance over different time periods, match conditions, and contexts. [3] The study uses principal component analysis (PCA) to determine weights for the various variables, but it is unclear whether the assigned weights truly reflect the relative importance of each performance measure."
Football analytics: a Higher-Order PLS-SEM approach to evaluate players’ performance,Mattia Cefis & Maurizio Carpita,2022,"This paper looks to adopt a Higher-Order PLS-SEM approach to the sofifa KPIs (e.g. Key Performance Indicators) in order to compute a composite indicator and compare it with the well-known overall index from EA Sports, so that player evaluation is more complete.",106,player,106 midfield player from Serie A 2015/16,Europe,"Unsupervised Learning , Structural Modelling","Higher-Order PLS-SEM to measure causality relations between the 6 sofifa traits and the basic statisical variables (manifest variables), and find out which variables are important.",Aggregated Data,"finishing, positioning, shot power, long shots, volleys, penalties, marking, standing tackle, sliding tackle, interceptions, agility, balance, dribbling, ball control, reactions, vision, crossing, short passing, long passing, curve, stamina, strength, aggression, jumping, sprint speed, acceleration, composure, attacking work rate, defensive work rate",Player,Manifest variables measuring their importance towards Latent variables,Player Performance Related,"[1] When comparing with different datasets (SoFIFA and FIFA), loadings are calculated differently which means that different datasets can conjure different causality relationships with the main attributes or KPI. [2] FIFA Cards index achieved a better good of fit, but the correlation with EA overall index is similar in both groups.","[1] The PLS-SEM model simplifies the relationships between variables by treating some stats as causes and others as effects (e.g., shots leading to higher performance). However, football is a dynamic game with complex interactions between players, teams, and tactics that might not fit neatly into this framework. [2] The authors assume that the stats (MVs) ""form"" the latent variables (LVs) like attacking and defending, meaning they believe the stats cause the latent variables. Misunderstanding whether variables are formative or reflective can distort the results. [3] The model treats the chosen variables as equally important within their groupings. However, not all performance metrics (e.g., dribbles vs. key passes) hold the same weight in contributing to overall performance."
How to be praised in sports newspapers: a performance analysis from soccer matches,"Hugo Silva, Fábio Yuzo Nakamura, Vajiheh Javani, & Rui Marcelino",2023,"This study investigates how performance metrics impact player ratings in Portuguese sports newspapers, comparing these ratings with data from SofaScore to assess biases and the factors most valued by the media. It aims to understand the subjective elements influencing player evaluations in media versus data-driven metrics.",5,matches,5 Portuguese first division games from 2021/22 season,Europe,Regression,"Pearson’s Correlation Analysis is used to measure the agreement between newspaper ratings and SofaScore for various player positions. Linear Regression Analysis identifies the performance variables with the strongest impact on newspaper ratings, assessing the relationship between player actions and media evaluations.",Aggregated Data,"offensive actions, defensive contributions, positional data",Player,Newspaper Ratings,Player Performance Related,"[1] Offensive contributions, particularly goals and assists, were the primary drivers of high ratings across all newspapers. For instance, forwards received high ratings based on goal scoring, while central midfielders benefited from assists. [2] Goalkeepers received higher ratings in newspapers than in SofaScore, with newspapers valuing actions like successful exits and duels won, highlighting a bias towards defensive actions. [3] Each newspaper displayed unique biases; for example, ‘A Bola’ and ‘Record’ rated goalkeepers favorably for defensive actions, while ‘O Jogo’ valued offensive contributions more broadly. Which means bias introduces subjective elements in the rating of players.","[1] Newspapers favored offensive metrics for rating defenders and midfielders, potentially disadvantaging defensive players whose actions don’t directly impact goals or assists. [2] The study’s findings are based solely on the Portuguese league, limiting generalizability across international leagues and different media environments. [3] Despite correlations, media ratings showed subjective bias, favoring visible actions (e.g., goals, saves) over other contributions, which may distort player evaluations."
What are the key performance indicators for a top position in the German Bundesliga?: 2022-2023 Bundesliga season example,Gizem Baskaya,2023,"Compare performance of teams using technical, tactical and physical performance parameters according to league rankings, reveal its effect and relationship",612,matches,612 matches played in Bundesliga,Europe,Regression,MANOVA test to reveal the difference between the teams and effect sizes were reported. Pearson Correlation Test was applied to determine the relationships between the performance parameters of the teams and the points they collected,Aggregated Data,"possession, percentage of accurate passes, goals scored, goals conceded, total shots, total duels won, total aerial duels won, total points, running distance per match, total running distance, high intensity running, number of sprints",Team and Player,League ranking,Team Performance Related,"[1] Goals scored, goals conceded, total shots and total points are in favor of top ranked teams. [2] Possession, pass accuracy, goals scored, total shots (+) & goals conceded and aerial duels won (-) are highly correlated. [3] Running parameters have no correlation with points.","[1] Goalkeeping parameters are not considered. [2] Ignored the play without the ball in terms of their physical performance, and could not be reported on the data site. [3] No context in playing position is considered."
Action Valuation of On- and Off-Ball Soccer Players Based on Multi-Agent Deep Reinforcement Learning,"Hiroshi Nakahara, Kazushi Tsutsui, Kazuya Takeda, & Keisuke Fujii",2023,This study proposes a holistic framework for valuing both on-ball and off-ball player actions in soccer using multi-agent deep reinforcement learning (RL). It aims to evaluate how players contribute to both attacking and defensive phases by analyzing their movements and decisions throughout the game.,55,matches,55 Meiji J1 League matches during the 2019 season,Asia,Reinforcement Learning,A deep reinforcement learning model with action supervision is used to compute state-action values (Q-values) for on- and off-ball players. The model mimics Google Football’s action space and leverages supervised learning to estimate Q-values in real-time game scenarios.,Event Data and Tracking Data,"xy coordinates, actions, goals, ratings",Player,"Q-values, representing the contribution of their actions to the team’s success.",Player Performance Related,"[1] The proposed RL model effectively evaluates both on-ball and off-ball contributions, highlighting the importance of indirect actions (e.g., movement without the ball). [2] A moderate negative correlation was found between Q-values and season goals, suggesting that the model values defensive and passing actions more than direct scoring. [3] The model correlates weakly with expert ratings and existing off-ball metrics (e.g., OBSO), emphasizing the unique perspective it provides by valuing actions across all game phases.","[1] The model’s complexity may limit interpretability, and it struggles with certain counterfactual scenarios (actions not taken by players). [2] The study focuses on attacking phases within the final third, which may overlook defensive contributions and player performance across the full pitch. [3] Limited data (55 games) and a small player sample (14 Yokohama F. Marinos players) could reduce generalizability."
Influence of Game Indicators on the Ranking of Teams in the Spanish Soccer League,"José Fernández-Cortés, Juan M. García-Ceberino, Javier García-Rubio & Sergio J. Ibáñez",2023,"This study analyzes the impact of various game indicators on the partial and final rankings of Spanish LaLiga teams across three distinct periods (pre-COVID-19, during COVID-19, and post-COVID-19). It aims to identify which indicators most strongly correlate with successful league outcomes.",2660,matches,"2,660 LaLiga matches across seven seasons",Europe,Regression,one-factor ANOVA and linear mixed models to evaluate the effects of game indicators on team rankings,Aggregated Data,"ball possession, total passes, shots on goal, shots off goal, yellow cards, and fouls, among others.",Team and Player,Team Rankings,Team Performance Related,"[1] Ball Possession and Total Passes Influence Final Ranking as higher-ranked teams consistently showed greater ball possession and a higher number of total passes, especially those qualifying for European competition. Shows that players who make more passes hold greater value in the team. [2] The COVID-19 period saw reduced home advantage, affecting match outcomes and related game indicators like fouls and yellow cards. This comes to speculate that referees are often dictated by the emotions of the crowd when awarding fouls or providing advantageous decisions to the home side.","[1] This analysis is limited to LaLiga, which may not generalize to leagues with different tactical and stylistic norms. [2] No contextualized information on the statistical data. [3] By focusing on pandemic periods, the study’s insights might not fully apply to long-term trends, as the COVID-19 period had unique situational factors."
Evaluation of Goalkeepers’ Performance via Grey Relational Analysis Method: Example of Africa Cup of Nations,Abdullah Yi?it Güngör,2024,"This study applies the Grey Relational Analysis (GRA) method to evaluate and rank goalkeeper performances in the 2023 Africa Cup of Nations (AFCON). It aims to identify top performers by quantifying defensive and distributional metrics to assist stakeholders, including scouts and coaches, in making objective performance evaluations.",52,matches,52 matches,Africa,Decision & Heuristic Systems,"Grey Relational Analysis (GRA) model ranks goalkeepers based on save percentage, claimed crosses, and passing accuracy.",Aggregated Data,"Save percentage, claimed crosses, passing accuracy per match, market value",Player,GRA-based performance scores,Player Performance Related,"[1] High-performing goalkeepers were not always from the highest-valued teams, suggesting that market value is not the sole indicator of success. [2] GRA offers a structured approach to goalkeeper ratings, allowing weighted scoring across different skill areas (saves, distribution, aerial play).","[1] Only three metrics (save percentage, claimed crosses, passing accuracy) were analyzed, potentially overlooking other critical factors like positioning and reflexes. [2] GRA assumes equal importance across metrics, which may not fully represent the diverse skill set required for goalkeeping."
Diverse Machine Learning for Forecasting Goal-Scoring Likelihood in Elite Football Leagues,"Christina Markopoulou, George Papageorgiou & Christos Tjortjis",2024,"The study aims to forecast goal-scoring likelihood among players across four major European leagues using advanced machine learning techniques. It evaluates the predictive accuracy of several machine learning models for player goal predictions. By forecasting goal-scoring likelihood, the model provides an objective, data-driven basis for evaluating strikers and offensive players’ contributions.",424,player,424 players across four leagues,Europe,Supervised Learning,"XGBoost, gradient boosting, random forest, ridge regression, linear regression, and multilayer perceptron (MLP)",Aggregated Data,"expected goals (xG), previous goals, expected assists, goals per 90 minutes, player position, and several advanced metrics tailored for each model.",Player,Goal-Scoring Likelihood,Player Performance Related,"[1] XGBoost consistently outperforms other models in most datasets, showing strong predictive accuracy, particularly in Serie A with an MAE of 1.29. [2] Expected Goals (xG) and previous goals are critical features as they provide added context into the actions that take place.","[1] The model heavily depends on historical scoring data, which might limit its predictive power for new players or those returning from injuries. [2]  The ensemble and neural models, while accurate, may lack transparency, making it challenging for clubs to understand the factors influencing predictions. [3] The study’s focus on top-scoring players might introduce selection bias, as lower-scoring players or defenders are less represented in goal-scoring prediction models."
Factors that Influence Player Market Value in Different Position: Evidence from European Leagues,"Zhangyi Rong, Lujie Wang, Shengting Xie",2024,This study analyzes different playing positions and their relation towards market value,400,player,400 players from UEFA First Tier Leagues,Europe,Regression,"Simple Linear Regression, Multiple Linear Reression, ANOVA Test, T-Test",Aggregated Data,"age, nationality, league affiliation, height, weight, goals, assists, starts, clearances, injuries, save rate, interception",Player,Market Value,Financial Related,"[1] younger players have higher market value, age is an important feature in market value. [2] Goalkeepers are exhibit distintive trajectories with their age as it's more consistent as they age, showing that differening positions does impact a player's value.",[1] Scope of dataset only includes European leagues [2] factors are not adqueate [3] no specific positions but only general positions considered
The Betting Odds Rating System: Using soccer forecasts to forecast soccer,Fabian Wunderlich & Daniel Memmert,2018,Using betting odds of single matches to draw conclusions about quality of teams,14931,matches,"14,931 matches",Global,"Custom Rating Systems , Regression","ELO calculations implemented, replacing actual result with expected results in terms of betting odds.",Aggregated Data,"match date, home team, away team, home goals, away goals, betting odds for home win, betting odds for draw, betting odds for away win",Team and Player,ELO-Odds (Betting Odds based ELO Team Ratings),Team Performance Related,"[1] Outperform traditional ELO models (ELO-Goals & ELO-Results), showing that betting odds prior to matches contain more relevant information and more valuable insights to performance analysis than the result of the match itself.","[1] Using intangible home and away factors undermines the quality of team performance in the general state of play, where they are judged on equal grounds. [2] Ratings constructed prior to the match as a measure for the actual result, ignoring the performance that is observable during or after the match which would cause inconclusive result of the player/team performance in the given game. [3] It can only extract team specific information from the betting odds and aggregate them in the ratings, but exclude relevant information such as injuries or line ups."
Team Composition in PES2018 Using Submodular Function Optimization,"Yifeng Zeng, Gaoyang Shen, Bilian Chen & Jing Tang",2019,This study explores an automated team composition method in Pro Evolution Soccer 2018 (PES2018) by framing team selection as a submodular optimization problem. The goal is to recommend an optimal team that maximizes skill coverage and meets budget constraints.,9563,player,"9,563 players from the PES2018 database",Global,Optimization Techniques,"Submodular function optimization techniques, applying a greedy algorithm and an improved Cost-Effective Forward selection Greedy (CEFG) algorithm to optimize team selection.",Aggregated Data,"attacking prowess, ball control, dribbling, passing, and speed to maximize skill coverage",Player,Team's Win Rate,Team Performance Related,"[1] The Elo-based system identified key players whose ratings contributed significantly to team success. [2] Player-based ratings outperformed team-only ratings in match outcome predictions, supporting the system’s use for evaluating lineup strength. [3] The rating system proved adaptable across competitions and was effective for player ranking, suggesting usefulness for scouting purposes in identifying high-impact players.","[1] Using PES2018 data limits generalizability, as attributes and skills may not reflect real-world player dynamics. [2] The study estimates player salaries based on ratings, which may not accurately capture true player value in complex sports markets. [3] By constraining team composition to a single formation, the model may lack flexibility in adapting to varied game strategies."
Machine Learning Models Reveal Key Performance Metrics of Football Players to Win Matches in Qatar Stars League,Jassim Almulla & Tanvir Alam,2020,The study aims to develop machine learning models to identify key performance metrics that contribute to winning football matches in the Qatar Stars League (QSL). It seeks to use these metrics to create a classification model that can predict whether a team will win or lose a match based on player performance.,1121,matches,"1,121 matches",Asia,Supervised Learning,Classification framework in the machine learning context,Aggregated Data,"player data, match data, technical performance, physical performance",Player,Key Performance Metrics,Team Performance Related,"[1] Shots on Target by Forwarders is the most significant metric, Successful Passes, High-Speed Distance, Defenders' Role, Fair Play are determinants of winning. [2] The Logistic Regression (LR) model was the best performing, achieving over 80% accuracy in predicting match outcomes.","[1] The study excludes draw matches from the analysis, focusing solely on wins and losses, the model may be oversimplifying the dynamics of football matches and missing out on a third, often crucial, outcome. [2] No contextualized information on the statistical data. [3] The data used is specific to the Qatar Stars League (QSL), which might not be as comprehensive as data from higher-profile leagues, the model may not be robust enough to apply to other leagues or future seasons without retraining. "
Developing a Reliable Hybrid Machine Learning Model for Objective Soccer Player Valuation,Hongtao Yu & Jialiang Li,2024,"This study proposes a hybrid machine learning model to improve the accuracy and reliability of soccer player market value predictions. The model seeks to provide an objective, data-driven approach for estimating player values, addressing limitations in traditional methods based on expert opinion or basic statistical models.",491,player,491 players from FIFA 20 video game,Global,Regression,"Decision Tree Regression (DTR) enhanced with two metaheuristic algorithms: the Jellyfish Search Optimizer (JSO) and the Honey Badger Algorithm (HBA), creating two hybrid models, DTJS (Decision Tree + JSO) and DTHB (Decision Tree + HBA)",Aggregated Data,"age, ball control, interceptions, reactions, and agility, among other technical and physical attributes, which are used to predict market values.",Player,Predicted Market Value,Financial Related,"[1] The DTJS (Decision Tree and Jellyfish Search Optimizer) hybrid model achieves an R² value of 0.982, outperforming other baseline models and providing highly accurate market value predictions, showing faster convergence and lower prediction errors. [2] Age, ball control, and interceptions are identified as the most significant predictors of market value, providing actionable insights for performance-focused player evaluations.","[1] While FIFA data is accessible, it may not capture real-world complexities, potentially limiting the model’s relevance for actual player valuations. [2] The study lacks validation against actual transfer fees, so the model’s accuracy in real market scenarios remains unverified."
Analysis of the Smart Player’s Impact on the Success of a Team Empowered with Machine Learning,"Muhammad Adnan Khan, Mubashar Habib, Shazia Saqib, Tahir Alyas, Khalid Masood Khan, Mohammed A. Al Ghamdi & Sultan H. Almotiri",2020,"The study seeks to quantify the impact of a ""smart player"" (Lionel Messi, in this case) on a team's success by developing a predictive model using machine learning. The model assesses the dependency of team outcomes on the performance of a star player, aiming to demonstrate the significance of player leadership and skill.",927,matches,927 Barcelona games from 2005 to 2020.,Europe,Neural Network,"Adaptive Back Propagation Neural Network (ABPNN) for performance prediction, with training conducted on historical match data",Aggregated Data,"goals, results",Team and Player,Team Success ,Team Performance Related,"[1] The ABPNN model achieved 94% accuracy, successfully predicting outcomes based on player dependency categories. [2] Barcelona’s success in over 28% of games was significantly attributed to Messi’s presence, indicating a substantial impact of a star player on team outcomes and the importance towards player evalaution to understand its impact on the overall picture. [3] By quantitatively linking player contributions to team performance, this study underscores the value of high-impact players and supports evidence-based decisions for contract extensions and strategic lineup choices.",[1] Using only Messi’s data limits the model’s application to evaluating broader team dynamics or other players’ impact on performance.
Using composite performance variables to explain football players’ market values,Christer Thrane,2024,The present study examines how Fotmob's composite performance index (ratings) is associated with football players’ market values as defined by the Norwegian website FotMob and by the German website Transfermarkt.,240,matches,240 Eliteserien matches,Europe,Regression,Regression analysis to find relationship between FotMob ratings and market values neet of the independent variables typically used in previous regression models,Aggregated Data,"Fotmob rating, market value, goals, assists, cards, footedness, national team status, matches in career, age, position, nationality, year of contract signing, year of contract termination, number of matches in European cups, number of wins, number of previous clubs",Player,Transfermrkt Market Value & Fotmob performance index,Financial Related,"[1] Fotmob performance index contributed with unique explanatory power regarding market values. [2] Fotmob performance index also contigent on player's age (younger), player positions (midfielder/striker), and players with longer contract durations. [3] Certain independent variables effects on market value is exaggerated when not adjusted for the composite performance index. [4] Fotmob performance index has ample explanatory power when predicting ratings for players when tested against subjective ratings from reporters.",[1] No contextualized information on the statistical data. [2] Potential issues with multicolinearity due to large usage of independent variables. [3] Small dataset may not provide enough predicitve power to analysis.
On the use of passing network indicators to predict football outcomes,"Riccardo Ievoli, Lucio Palazzo & Giancarlo Ragozini",2021,"This study investigates the predictive value of network-based metrics derived from passing networks in determining match outcomes. It seeks to assess whether these metrics can enhance predictive models for winning probabilities, using both network indicators and traditional match variables.",96,matches,"96 matches from the 2016-2017 UEFA Champions League Group Stage, involving 32 top European teams",Europe,Graph-Based Modelling,"Binomial Logistic Regression (BLR) and compares it with machine learning models like Artificial Neural Networks (ANN), Naive Bayes (NB), and Random Forest (RF)",Event Data,"network diameter, centralization, clustering, and average neighborhood size, alongside control variables like attempts, fouls, ball possession, and distance covered",Team and Player,Player Network Centrality,Team Performance Related,"[1] The inclusion of network-based indicators enhances model accuracy, with BLR achieving higher AUC and accuracy than models without network data, showing that contextual element of a player's passing adds value to the accuracy of the model. [2] Betweenness centralization and network diameter significantly contribute to predicting a team’s probability of winning, and thus gauging a player's role in creating connectivity, highlighting influential players in passing networks. [3] Among the tested models, BLR performs well with a balance between sensitivity and specificity, suggesting it is a reliable approach for win prediction.","[1] The study focuses solely on passing networks without considering positional or spatial data, which could provide critical context on how passes and formations impact outcomes. [2] The model is developed using data from high-profile UEFA Champions League teams, which may limit applicability to teams with different playing styles or less structured passing dynamics."
