Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Number of Factors,Factors,Type of Rating,Evaluation Measure,Evaluation Category,Study Design,Key Findings,Criticism/Limitation
Not Every Pass Can Be an Assist: A Data-Driven Model to Measure Pass Effectiveness in Professional Soccer Matches,"Floris R. Goes, Matthias Kempe, Laurentius A. Meerhoff, & Koen A.P.M. Lemmink",2019,"The paper presents a new model for evaluating pass effectiveness in soccer, focusing on how well a pass disrupts the opponent's defense. The goal is to quantify pass effectiveness beyond traditional measures that overemphasize forward passes and scoring opportunities.",18,matches,18 matches,Europe,Custom Rating Systems,"Defensive Disruptiveness Score (D-Def), which uses spatiotemporal data to evaluate the movement of defending players following a pass. The D-Def score quantifies the disruption caused to the defense following a pass.  It employs Principal Component Analysis (PCA) to derive key metrics related to defensive organization and disruption. The model considers movement and organizational changes in the opponent's defense to rate the effectiveness of passes.",Tracking Data,10,"team-centroid X, team-centroid Y, defence-line centroid X, defence-line Y, midfield-line X, midfield-line Y, attack-line X, attack-line Y, team surface-area (convex-hull), team spread (Frobenius norm of player positions).",Player,D-Def score,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] Long passes and fast passes in a longitudinal direction have the highest correlation with disrupting the opponent's defense. [2] Players who create more longitudinal movement in the defense are better passers according to the model. [3] Overall individual movement of players correlate with disruptiveness of defensive organization, the more the players move, the more unstable their defence is.","[1] The study only includes completed passes, meaning incomplete passes are excluded from the analysis, making it biased towards a certain style of play. [2] Study evaluates all passes by giving it a value, not condusive when calculating overall performance where we are interested in looking at the game changing moments, as proven by the study that progressive actions make the most of the disrupted defences. [3] It doesnt account for the relationship between pass effectiveness and game outcomes (e.g., scoring goals)."
Discovering associations between players performance indicators and matches results in the European Soccer Leagues,Maurizio Carpita & Silvia Golia,2021,"Using Bayesian Network to mine the relations between players' performance indicators of 4 different roles and the results of matches, and to predict the wins of the home team.",18873,matches,"18,873 matches",Europe,Bayesian Methods,Bayesian Network,Aggregated Data,10,"Home Forward Overall Performance Indicator, Home Midfielder Overall Performance Indicator, Home Defender Overall Performance Indicator, Home Goalkeeper Overall Performance Indicator, Away Forward Overall Performance Indicator, Away Midfielder Overall Performance Indicator, Away Defender Overall Performance Indicator, Away Goalkeeper Overall Performance Indicator, Home ELO, Away ELO",Player,Overall performance indicator (predictor to result of match),Team Performance Related,Predictive,"[1] Midfielders are important to obtaining a winning result for the home team, while defenders are more important to the away team. [2] Bayesian Network built with OPI has the same predictive power as Bayesian Network built with ELO but BN with OPI describes the dependence/independence relationships amongst variable","[1] Model doesn't incorporate contextual information, in the ratings. [2] No description on OPI's calculcations. [3] OPI generated from scouted perspectives which may be derived without statistical basis."
Rating Player Actions in Soccer,"Uwe Dick, Maryam Tavakol, & Ulf Brefeld",2021,"This study proposes a data-driven model to rate soccer player actions, focusing on ball possession phases and predicting player movements. It evaluates players based on their contribution to team success during these phases using trajectory data.",54,matches,54 Bundesliga matches in the 2017/18 season,Europe,Neural Network,"A Graph Recurrent Neural Network (GRNN) is employed to predict player trajectories and the success of ball possession phases. The GRNN processes the interaction between players and the ball, using a fully connected graph where players and the ball are represented as nodes.",Tracking Data,8,"x-coordinates, y-coordinates, x-velocity, y-velocity, team-in-possession flag, has-ball flag, attacking-direction flag, goalkeeper flag. ",Player,Value functions for different player actions,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] The GRNN accurately predicts both player movements and the outcome of possession phases. [2] The model highlights the importance of off-ball actions, such as defensive positioning and running into space. [3] The model significantly outperforms a baseline convolutional neural network in predicting successful ball possession outcomes.","[1] The model doesnt account for the players physical state (e.g., fatigue) or body posture, limiting its accuracy in assessing defensive actions. [2] Success is measured by entering a ""dangerous zone"" rather than scoring, which could overlook critical defensive contributions."
Data-driven exploratory approach on player valuation in football transfer market,"Yunhu Kim, Khac-Hoai Nam Bui, & Jason J. Jung",2019,"To offer an objective, data-analytics workflow that predicts post-transfer performance and classifies players by value (performance × transfer fee), allowing clubs to spot efficient bargains and overpriced signings.",N/A,N/A,N/A,Global,"Regression , Supervised Learning , Unsupervised Learning","Regression analysis to predict player performances after trasnfer. Boruta Algorithm for feature selection to identify important attributes of each position, K-Means Clusterting to classify players into 4 catgoeries based on performance and transfer fee.",Aggregated Data,26,"appearances, minutes played Played, Total Goals, Total Assists, Shots, Dribbles, fouls won, Offsides, Bad Control, key passes, Passes, Pass Success Percentage, Crosses, long pass, through ball, Tackles, interceptions, Fouls, Offside Won, clearances, Dribbled Past, Outfielder Blocks, Own Goals, Expert Rating, Transfer Fee",Player,Categorized into 4 clusters: LPLF: Low performance and low transfer fee. LPHF: Low performance and high transfer fee. HPHF: High performance and high transfer fee. HPLF: High performance and low transfer fee.,Financial Related,Predictive,"[1] The Boruta algorithm was effective in identifying important performance attributes like assists, dribbles, and key passes for different positions. [2] Clustering results reveal that transfer fees are not always aligned with player performance, as some high-fee players underperform post-transfer, while lower-fee players overperform, which suggests transfer fees are often impacted by different factors that are not considered in the study (club finances). [3] Passing performances and dribbling are critical in the evaluation of players in most position according to the  Boruta algorithm, which shows that a player's technical ability is high regarded in their value.","[1] Transfer fee driven by popularity, inflation, home-grown rulesfactors not modelled.  [2] Transfer fee is not suitable as a variable due to the intangible factors like club finances not being included in the study. Regression analysis done on the transfer fee of the player misleads the true quality and performance of the player. [3] No goalkeepers, so findings cannot generalise to full squads. "
Predict the Value of Football Players Using FIFA Video Game Data and Machine Learning Techniques,Mustafa A. Al-Asadi & Sakir Tasdemir,2022,"This study proposes a machine learning model to predict football players market values using data from FIFA 20, aiming to replace subjective, expert-based evaluations with a quantitative approach for more objective player valuation.",17980,player,"17,980 players from FIFA 20 video game data",Global,"Regression , Ensemble Learning , Supervised Learning","Compares Linear Regression, Multiple Linear Regression, Decision Trees, and Random Forest Regression, with Random Forest providing the best results.",Aggregated Data,7,"Age, Height, Potential, International reputation, Weak foot, Team position, Passing",Player,Predicted Market Value,Financial Related,Predictive,"[1] Random Forest achieved the highest accuracy (R² of 0.95), showing it effectively captures the complexity of market value predictions. [2] The features potential and international reputation are among the most influential for determining market value, highlighting the importance of player reputation beyond skill alone. [3] The study finds that limiting features to a core set (7 attributes) does not significantly affect model performance, simplifying predictions.","[1] Using FIFA 20 data limits the models applicability, as game-based ratings may not fully reflect real-world performance and transfer market dynamics. [2] The absence of real transfer data as a comparison restricts validation, potentially affecting the models generalizability to actual market scenarios."
The Betting Odds Rating System: Using soccer forecasts to forecast soccer,Fabian Wunderlich & Daniel Memmert,2018,Using betting odds of single matches to draw conclusions about quality of teams,14931,matches,"14,931 matches",Global,"Custom Rating Systems , Regression","ELO calculations implemented, replacing actual result with expected results in terms of betting odds.",Aggregated Data,6,"Match Result, Goal Difference, Betting-market probability of home win, Betting-market probability of draw, Betting-market probability of away win, Fixed home advantage offset",Team and Player,ELO-Odds (Betting Odds based ELO Team Ratings),Team Performance Related,Algorithmic rating/composite,"[1] Outperform traditional ELO models (ELO-Goals & ELO-Results), showing that betting odds prior to matches contain more relevant information and more valuable insights to performance analysis than the result of the match itself.","[1] Using intangible home and away factors undermines the quality of team performance in the general state of play, where they are judged on equal grounds. [2] Ratings constructed prior to the match as a measure for the actual result, ignoring the performance that is observable during or after the match which would cause inconclusive result of the player/team performance in the given game. [3] It can only extract team specific information from the betting odds and aggregate them in the ratings, but exclude relevant information such as injuries or line ups."
Comparing Bottom-Up and Top-Down Ratings for Individual Soccer Players,Lars Magnus Hvattum & Garry A. Gelade,2021,This paper compares two approaches for evaluating individual soccer players: bottom-up ratings (which value individual player actions) and top-down ratings (which assess team performance and distribute credit to players). It aims to determine which method is more reliable and valid for predicting match outcomes and ranking player performance.,18047,matches,"18,047 matches over 10 seasons (2009/10 to 2018/19) from Europes top five leagues",Europe,"Custom Rating Systems , Ensemble Learning","Bottom-up rating: The VAEP (Valuing Actions by Estimating Probabilities) model, which calculates the value of player actions by estimating how they affect the probability of scoring or conceding goals. Top-down rating: The plus-minus (PM) rating, which measures the goal differential achieved by a team when a player is on the field, adjusted for teammate and opponent strength.",Event Data,24,"touches, successful passes, total pass length, pass-completion percentage, pass value, key pass, through ball, Goals, shots on target, assists, successful take-ons, ground duel success, successful aerial duels, aerial duel success %, interceptions, tackles made, clearances, recoveries, saves, save-to-shot ratio, Total cards, fouls committed, dispossession,  mean pass length, player-presence, home field, league, red-card dummies",Player,VAEP Ratings and PM Ratings,Player Performance Related,Explanatory (associational/regression),"[1] PM ratings are more reliable and provide better predictions of match outcomes than VAEP ratings. [2] VAEP ratings, while detailed, were less consistent when tested across different data sets and less effective in predicting match results. [3] Hybrid ratings combining PM and VAEP did not significantly improve performance compared to PM alone.","[1] VAEPs reliance on detailed event data can make it less stable and harder to generalize, particularly for smaller data sets. [2] VAEP doesnt account for opponent or teammate quality as thoroughly as PM ratings. [3] Both models lack consideration for player interaction effects (e.g., chemistry between players) and do not handle off-ball actions."
Developing a Multicriteria Decision-Making Model Based on a Three-Layer Virtual Internet of Things Algorithm Model to Rank Players Value,Che-Wei Chang,2022,"This study proposes a multicriteria decision-making (MCDM) model using a virtual Internet of Things (IoT) structure to rank player values. By integrating IoT technology, the study evaluates football players in European leagues, emphasizing defenders' performance and market value.",23,matches,23 matches,Europe,"Decision & Heuristic Systems , Supervised Learning",Grey Relational Analysis (GRA) model evaluate and rank players based on performance metrics.,Aggregated Data,20,"name, competition, club, season, age, height, international-caps flag, citizenship, playing position, appearances, minutes played-played, goals, assists, yellow cards, second-yellow cards, red cards, weekly wage (), current market value (), highest market value (), kit outfitter",Player,GRA-based performance scores,Player Performance Related,Algorithmic rating/composite,"[1] Players GRD rankings closely align with market valuations and public rankings, suggesting that IoT-driven models can reflect player value effectively. [2] Study highlights interceptions and tackles as critical indicators of a defender's proactive engagement in disrupting opponent plays, showing high relevance in the GRD ranking outcomes.","[1] High initial costs for IoT implementation, along with complexities in integrating diverse data sources, may limit broader adoption. [2] Focuses on a single tournament phase, limiting generalizability across seasons and competitions. [3] No contextualized information on the statistical data."
Analysis of the Smart Players Impact on the Success of a Team Empowered with Machine Learning,"Muhammad Adnan Khan, Mubashar Habib, Shazia Saqib, Tahir Alyas, Khalid Masood Khan, Mohammed A. Al Ghamdi & Sultan H. Almotiri",2020,"The study seeks to quantify the impact of a ""smart player"" (Lionel Messi, in this case) on a team's success by developing a predictive model using machine learning. The model assesses the dependency of team outcomes on the performance of a star player, aiming to demonstrate the significance of player leadership and skill.",927,matches,927 Barcelona games from 2005 to 2020.,Europe,Neural Network,"Adaptive Back Propagation Neural Network (ABPNN) for performance prediction, with training conducted on historical match data",Aggregated Data,6,"Smart-Player Presence, Smart-Player Goal, Other-Player Goal, Total Team Goal, Conceded, Match Result",Team and Player,Team Success ,Team Performance Related,Predictive,"[1] The ABPNN model achieved 94% accuracy, successfully predicting outcomes based on player dependency categories. [2] Barcelonas success in over 28% of games was significantly attributed to Messis presence, indicating a substantial impact of a star player on team outcomes and the importance towards player evalaution to understand its impact on the overall picture. [3] By quantitatively linking player contributions to team performance, this study underscores the value of high-impact players and supports evidence-based decisions for contract extensions and strategic lineup choices.",[1] Using only Messis data limits the models application to evaluating broader team dynamics or other players impact on performance.
What Happened Next? Using Deep Learning to Value Defensive Actions in Football Event-Data,"Charbel Merhej, Ryan J. Beal, Tim Matthews, & Sarvapali Ramchurn",2021,"This study introduces a deep learning-based model, DAxT (Defensive Action Expected Threat), to objectively value defensive actions, such as tackles and interceptions, by quantifying the threat they prevent in football. Unlike traditional metrics, DAxT evaluates a defender's impact based on what might have occurred if the defensive action had not taken place.",760,matches,760 English Premier League (EPL) games across the 2017/18 and 2018/19 seasons,Europe,Neural Network,Multi-layer perceptron neural network to predict xT values for sequences where a defensive action halts an offensive threat.,Event Data,6,"xT of Event , x-coordinate, y-coordinate",Player,DAxT: Defensive Actions Expected Threat,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] DAxT effectively ranks players based on their ability to prevent high-threat situations, aligning with real-world defensive impact and transfer market values. [2] The model highlights how defensive actions differ in value based on field position and team playstyle, as defensive actions occuring higher up the pitch offers offensive threat.","[1] Does not account for defender positioning or multiple opposition attackers, potentially underestimating complex defensive scenarios. [2]  Findings may be limited to EPL style and dataset constraints, impacting generalizability to other leagues, which meakes it unsitiable to judge based on team impact."
The Golden Index: A classification system for player performance in football attacking plays,"Tiago Pereira, João Ribeiro, Filipe Grilo, & Daniel Barreira",2019,"This study develops the ""Golden Index"" (GI), a formula designed to quantify football players' contributions to attacking plays based on individual and collective performance metrics. The GI identifies ""Golden Players,"" or those with the most impactful performance in offensive sequences, through a combination of network analysis and traditional metrics.",38,matches,38 games Club Atlético de Madrid during the 2016-2017 season,Europe,Custom Rating Systems,Network Analysis Metrics to evaluate frequency and positioning of player interactions in attacking networks. Expert Validation and Weight Assignment on each metric.,Aggregated Data,12,"Assists, Goals, Shots, Crosses, Dribbles, Running with the ball, Passes, Passes Received, Betweenness centrality, Page-rank prestige, Influence-range (closeness) centrality, Ball losses",Player,Golden Index Score,Player Performance Related,Predictive,"[1] GI score identifies key attacking players critical in team's attacking chances. [2] The GI accommodates different positions, allowing comparisons between players with varied roles in attacking structures.","[1] GI does not assess defensive contributions, making it incomplete for players with primarily defensive responsibilities. [2] Developed for a single season and club, the GI may not directly generalize to other teams or leagues without recalibration. [3] Network metrics can overestimate player value in complex sequences where contributions are less tangible (e.g., off-ball movements)."
Measuring skill via player dynamics in football dribbling,"Lukas Brink, Seung Kyun Ha, Jack Snowdon, Ferran Vidal-Codina, Bobby Rauch, Fan Wang, David Wu, Maurici A. López-Felip, Christophe Clanet, & Anette E. Hosoi",2023,"This paper presents a physics-based model to measure football dribbling skills by analyzing 1v1 dribble events. The study models the dribbling dynamics by assessing player-specific attributes such as top speed, aggressiveness, and hesitance, allowing for quantification of dribbling skill beyond traditional metrics.",17,matches,17 MLS matches,America,Custom Rating Systems,"Adapts Kellers running model for 2D player movements to simulate dribbling interactions, considering factors like player aggressiveness and defender hesitance.",Tracking Data,6," aggression, attacker top-speed, attacker resistance, hesitance, defender top-speed, defender resistance",Player,Dribble Score,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] Forwards exhibit higher aggressiveness in dribbling than midfielders, while defenders display increased hesitance when facing top dribblers. [2] Defenders are less aggressive when dribbling starts centrally in the attacking third compared to the flanks, which means central attacking actions in the final third bring more value and danger. [3] Combining traditional metrics with trajectory-based analysis provides nuanced insights, supporting both scouting and in-game decision-making.","[1] Only accounts for two-player interactions in dribbles, excluding influences of multiple defenders. [2] High sensitivity in model parameters may lead to variability in certain scenarios, affecting stability in real-time applications. [3] Based on MLS data from a single team, which may limit applicability across leagues and player styles."
Analysis of crossing at the 2014 FIFA World Cup,"Craig Pulling, David Eldridge, Emma Ringshall, & Matthew T. Robins",2018,"The study investigates open play crosses during the 2014 FIFA World Cup, aiming to understand how cross delivery types, timing, and defensive pressure influence offensive and defensive outcomes. It seeks to inform tactical decisions and hence evaluate player performance accordingly.",64,matches,64 World Cup matches,Global,Regression,"Chi-Square Tests of Association is used to analyze relationships between cross delivery types, pitch zones, and outcome categories.",Event Data,7,"Pitch side of delivery, Delivery type, Defensive-pressure level on crosseser, Zone of the cross, Zone of the outcome, Match-time segment, Outcome classification ",Player,Crossing performance,Action-Centric Performance Metrics,Explanatory (associational/regression),"[1] This study highlights the importance of delivery type and timing, which could serve as specific KPIs for evaluating player contributions to offensive phases, particularly for wingers and full-backs. [2] Performance evaluation systems could weight crossing success and outcomes by origin zone, rewarding players who consistently deliver accurate crosses from high-impact areas.","[1] Observations rely on video quality and angles, which may omit subtle positional adjustments that affect crossing outcomes???. [2] Focuses on the 2014 FIFA World Cup only, which limits the generalizability of findings across other tournaments or league competitions."
Dealing With Randomness in Match Outcomes: How to Rethink Performance Evaluation in European Club Football Using Expected Goals,Marc Brechot & Raphael Flepp,2020,"This study examines the use of expected goals (xG) as a more consistent and objective performance metric in football, aiming to reduce the impact of randomness on match outcomes.",7304,matches,"7,304 matches",Europe,Regression,Regression analysis to compare predictive power of the xG model against match results ,Event Data,5," Shot distance, Shot angle, free kick, Penalty Shot,?Body Part",Team and Player,xG difference ratings,Team Performance Related,Predictive,"[1] The xG difference is a more accurate indicator of future performance than points won in past matches, as it accounts for scoring chances rather than isolated goals. [2] xG scores minimize randomness compared to actual goals, providing clubs with more stable ratings that support consistent player and team evaluations.","[1] The studys xG model is simplified and does not factor in player-specific skills, defensive pressure, or contextual in-game factors, potentially limiting precision. [2] Focus on shot-based data excludes valuable non-scoring events, like defensive or midfield contributions."
A Profitable Model For Predicting the Over/Under Market in Football,Edward Wheatcroft,2020,The paper presents the Generalized Attacking Performance (GAP) rating system to predict the over/under 2.5 goals betting market in football. It evaluates whether alternative metrics like shots and corners outperform goals in predicting match outcomes.,54437,matches,"54,437 matches",Europe,Regression,"The GAP rating system calculates attacking and defensive team ratings based on inputs such as goals, shots, shots on target, and corners. Logistic regression is used to model the probability of a match exceeding 2.5 goals, and betting strategies such as Level Stakes and Kelly Criterion are tested.",Aggregated Data,5,"Goals, Shots, Shots on Target, Corners, Odds",Team,Cumulative betting returns,Team Performance Related,Algorithmic rating/composite,"[1] Using shots and corners as inputs to the GAP rating system yields significantly better predictive value than using goals. [2] Betting with average odds leads to a loss, confirming market overround erodes returns unless the best odds are selected. [3] Demonstrates that non-goal stats (shots, corners) are more predictive of future goal totals in aggregate  confirming the value of alternative metrics.

","[1] The model shows a diminishing profit trend in recent years, possibly due to bookmakers factoring in advanced statistics like shots and corners. [2] Data limitations exclude potential richer data inputs. [3] The model doesn't account for off-the-ball actions. "
A Data Analytics Approach to Player Assessment,Nitin Singh,2020,"This study develops a data-driven model using Principal Component Analysis (PCA) and classification methods to assess and rank football players. It aims to provide an objective, quantitative approach to predict player rankings based on various performance metrics.",150,player,150 player observations,Global,"Unsupervised Learning , Supervised Learning , Regression","Principal Component Analysis (PCA) for feature reduction and Principal Components Regression (PCR), followed by classification algorithms (e.g., Decision Tree, Logistic Regression, Random Forest) for rank prediction.",Aggregated Data,6,"pace, dribbling, shooting, passing, defense, physicality",Player,Player Ranking,Player Performance Related,Predictive,"[1]  PCA identified key attributes contributing to player rank, with PCR explaining 61.7% of the rank variance. [2] Random Forest achieved an accuracy of 81.3%, indicating the effectiveness of ensemble methods for classification. [3] Agility, pace, dribbling, shooting, and passing were critical in ranking attackers, while defense and physicality influenced defensive players' rankings.","[1] Using FIFAs simulated ratings may not fully reflect real-world player performance. [2] No contextualized information on the statistical data. [3] The model focuses on the top 50 players only, potentially limiting its application across a broader player base or league context."
A football player rating system,"Stephan Wolf, Maximilian Schmitt & Björn Schuller",2020,"This paper presents an Elo-based rating system designed to objectively evaluate individual soccer players. The model emphasizes adaptability and relies solely on official match reports, making it scalable to various leagues and potentially usable for scouting and talent identification.",17086,matches,"17,086 matches from 18 different competition",Europe,Custom Rating Systems,ELO algorithm is modified to handle individual player while adjusted based on match outcomes and goal difference. Home advantage was also added as a constant.,Aggregated Data,4,"Match Outcome, K-Factor Scaler, home advantage, Player Presence Indicator",Player,ELO-based player rating,Player Performance Related,Predictive,"[1] The Elo-based system identified key players whose ratings contributed significantly to team success. [2] Player-based ratings outperformed team-only ratings in match outcome predictions, supporting the systems use for evaluating lineup strength. [3] The rating system proved adaptable across competitions and was effective for player ranking, suggesting usefulness for scouting purposes in identifying high-impact players.","[1] Players start with ratings based on team averages, which may disadvantage players on weaker teams. [2] The system could overlook specific role-based contributions (e.g., defensive work), as it focuses on match results and goal differences. [3] Although scalable, the models reliance on match data limits its applicability in leagues or levels with incomplete or inconsistent data."
Management of Transfer Prices in Professional Football as a Function of Fan Numbers,"Martin Uík, Roman Warias & Jozef Glova",2022,"This study develops a model to quantify the impact of player popularity on transfer prices by linking fan numbers, specifically through merchandise potential, to amortize transfer fees. It offers a method for clubs to evaluate transfer values by considering both sporting and commercial potential.",6907,player,"6,907 players across European top leagues from 2003 to 2019",Europe,Regression,Regression model based on factors in the study,Aggregated Data,6,"Performance minutes played-ratio, Age, Social-media followers, Defender, Goalkeeper, Midfielder",Player,Predicted Transfer Fee,Financial Related,Explanatory (associational/regression),"[1] Higher fan counts correlate with higher merchandise revenue potential, which can justify higher transfer fees for popular players. [2] The study recommends one-year contracts for high-profile players with significant merchandise potential, while average players benefit from longer, amortized contracts. [3]  Variations in merchandise profit margins impact the number of fans willing to buy products, affecting the transfer value calculation.","[1] The model uses social media followers as a proxy for fan base, which may not fully capture a players global popularity or direct merchandise impact. [2] The model does not account for changing player performance over time, which could influence popularity and merchandise potential. [3] Complete data is available only for one season (2018/2019), potentially limiting broader application across seasons."
New Indicator for Centrality Measurements in Passing-network Analysis of Soccer,"Masatoshi Kanbata, Ryohei Orihara, Yuichi Sei, Yasuyuki Tahara and Akihiko Ohsuga",2019,"New centrality model using pass-distribution data to improve conventional models by incorporating both shortest and longer sequences in evaluating player contributions, especially those leading to goals or assists",13,matches,113 matches,Europe,Graph-Based Modelling,"Graph theory and centrality measures, with focus on centrality, flow centrality, and their proposed model which adds longer passing sequences to the analysis",Aggregated Data,3,"Directed edge weight, Shot node(s) linking each shooter to the outcome, Path-length threshold",Player,flow+: Centrality measures (betweenness and flow centrality),Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] Players significantly impact team financial outcomes based on their contributions to goal differentials. This dual focus could encourage clubs to evaluate players not only on their athletic performance but also on their potential to contribute to revenue.  [2] The models use of Monte Carlo simulations and predictive capabilities allows clubs to forecast the likely impact of player transfers on both team success and revenue. [3] The studys emphasis on weighting recent performances more heavily addresses a common issue in player evaluation modelskeeping ratings current and reflective of a players recent form. Clubs can thus use this model to capture trends and fluctuations in a players performance, leading to more precise and timely evaluations.","[1] No contextualized information on the statistical data. [2] The model only calculates players marginal financial value, neglecting intrinsic team contributions and the fixed financial value of maintaining a full squad. This may underestimate player valuations. [3] The Monte Carlo simulation treats all players as consistently performing according to historical averages and does not factor in potential fluctuations in player form or tactical variations, which may lead to oversimplified projections."
Evaluation of Goalkeepers Performance via Grey Relational Analysis Method: Example of Africa Cup of Nations,Abdullah Yi?it Güngör,2024,"This study applies the Grey Relational Analysis (GRA) method to evaluate and rank goalkeeper performances in the 2023 Africa Cup of Nations (AFCON). It aims to identify top performers by quantifying defensive and distributional metrics to assist stakeholders, including scouts and coaches, in making objective performance evaluations.",52,matches,52 matches,Africa,Decision & Heuristic Systems,"Grey Relational Analysis (GRA) model ranks goalkeepers based on save percentage, claimed crosses, and passing accuracy.",Aggregated Data,3,"Save percentage, claimed crosses, passing accuracy",Player,GRA-based performance scores,Player Performance Related,Predictive,"[1] High-performing goalkeepers were not always from the highest-valued teams, suggesting that market value is not the sole indicator of success. [2] GRA offers a structured approach to goalkeeper ratings, allowing weighted scoring across different skill areas (saves, distribution, aerial play).","[1] Only three metrics (save percentage, claimed crosses, passing accuracy) were analyzed, potentially overlooking other critical factors like positioning and reflexes. [2] GRA assumes equal importance across metrics, which may not fully represent the diverse skill set required for goalkeeping."
Differentiate the Game Maker in Any Soccer Match Based on Social Network Approach,"Samya Muhuri, Susanta Chakraborty & Sanjit K. Setua",2020,This study utilizes social network analysis to identify the game maker in soccer by examining ball-passing interactions. It aims to quantify influence using network centrality metrics in order to objectively determine the most impactful players in a game.,9,matches,9 matches,Global,Graph-Based Modelling,"Social network metrics including temporal degree centrality, temporal closeness centrality, temporal betweenness centrality, clustering coefficient, and weighted edge contribution are used for analysis",Event Data,5,"Degree centrality, Closeness centrality, Betweenness centrality, Clustering-Coefficient, Weighted Edge-Contribution Factor ",Player,Player Influence Level - Centrality Scores,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] Network metrics effectively identified the most influential players (game makers), aligning with subjective selections in many cases. [2] Players influence fluctuated within the game, with centrality metrics showing a shift in game maker over different periods. [3] Analysis pinpointed critical zones where influential passes originated, which could inform tactical strategies, showing that different zones of influence offer distinct value.","[1] Players are assigned static zones (defense, midfield, attack), which may not fully reflect the fluid nature of player movements in actual games. [2] The reliance on centrality metrics may overlook other qualitative factors that influence game-making."
